,property_ref,scraped_at,bedrooms,bathrooms,type,area,sub_area,has_bq,is_furnished,in_estate,security,serviced,luxury_features,price
9913,3379965,2026-04-16 01:19:59.178290+00:00,3,3,flat,Ajah,Ogombo,False,False,False,False,True,0,3000000.0
9914,3379955,2026-04-16 01:19:59.179891+00:00,3,3,flat,Ikeja,Adeniyi,False,True,False,True,False,1,16000000.0
9915,3424597,2026-04-16 00:35:47.423620+00:00,4,4,duplex,Ikoyi,Ikoyi,True,False,True,True,False,0,35000000.0
9916,3424589,2026-04-16 00:35:47.427048+00:00,1,1,mini-flat,Ajah,Sangotedo,False,False,False,False,True,0,2000000.0
9917,3424545,2026-04-16 00:35:47.430234+00:00,4,4,terrace,Lekki,Ikota,True,False,True,True,False,0,9000000.0
9918,3424534,2026-04-16 00:35:47.431813+00:00,5,5,duplex,Lekki,Ologolo,True,False,False,False,True,0,14000000.0
9919,3424519,2026-04-16 00:35:47.433465+00:00,1,1,flat,Gbagada,Pedro,False,False,False,True,False,0,2700000.0
9920,3424513,2026-04-16 00:35:47.435644+00:00,4,4,duplex,Lekki,Vgc,False,False,True,True,True,0,12000000.0
9921,3424511,2026-04-16 00:35:47.437326+00:00,4,4,duplex,Lekki,Orchid,False,False,True,True,True,0,10000000.0
9922,3424503,2026-04-16 00:35:47.438889+00:00,4,4,Maisonette,Ikoyi,Banana Island,True,False,True,True,False,0,45000000.0
9923,3424493,2026-04-16 00:35:47.440420+00:00,2,2,flat,Lekki,Ologolo,False,False,False,False,True,0,8000000.0
9924,3424491,2026-04-16 00:35:47.442152+00:00,4,4,duplex,Lekki,Orchid,False,False,True,True,False,0,10000000.0
9925,3424482,2026-04-16 00:35:47.443789+00:00,2,2,flat,Lekki,Ikate,False,False,False,True,True,0,9000000.0
9926,3424456,2026-04-16 00:35:47.445323+00:00,4,4,duplex,Lekki,Orchid,False,False,True,True,False,0,10000000.0
9927,3424445,2026-04-16 00:35:47.449794+00:00,2,2,flat,Gbagada,Omole Estate,False,False,False,False,False,0,3000000.0
9928,3424439,2026-04-16 00:35:47.451473+00:00,1,1,penthouse,Victoria Island (VI),Oniru,False,False,False,False,True,0,7000000.0
9929,3424420,2026-04-16 00:35:47.454528+00:00,2,2,flat,Lekki,Lekki Phase 1,False,False,True,True,True,0,13000000.0
9930,3424187,2026-04-16 00:36:25.137799+00:00,1,1,mini-flat,Lekki,Road,False,False,False,False,False,0,2000000.0
9931,3379944,2026-04-16 01:19:59.181450+00:00,4,4,duplex,Lekki,Chevron,True,False,False,False,False,0,15000000.0
9932,3424418,2026-04-16 00:36:05.011871+00:00,3,3,flat,Lekki,Lekki Phase 2,False,False,True,True,True,0,6500000.0
9933,3424412,2026-04-16 00:36:05.014732+00:00,2,2,Maisonette,Lekki,Freedom,False,True,False,False,False,0,15000000.0
